split,ratio,base_imp,scheme,mse,variance,bias2
0.9,5,2,original,0.08657057807508636,0.08285307795509457,0.003717500119991793
0.9,5,2,harmonic,0.06241925167897531,0.060268194801102924,0.0021510568778723787
0.9,5,5,original,0.02119071953368757,0.020991286966581903,0.00019943256710566954
0.9,5,5,harmonic,0.01390225132764487,0.013732604006566737,0.0001696473210781345
0.9,5,10,original,0.010659981486938001,0.010571425466221744,8.855602071625705e-05
0.9,5,10,harmonic,0.007337362956304531,0.007272928347333255,6.443460897127694e-05
0.9,5,20,original,0.005290830837518706,0.005275877285640066,1.4953551878640501e-05
0.9,5,20,harmonic,0.0026167229539443147,0.0026125783044111933,4.144649533121529e-06
0.9,5,50,original,0.002618824528169577,0.0026151726055406114,3.651922628965654e-06
0.9,5,50,harmonic,0.0013474283963747803,0.0013452844422520848,2.1439541226958176e-06
0.9,5,100,original,0.0013287361679544013,0.001315777675676382,1.2958492278019435e-05
0.9,5,100,harmonic,0.0006542748724958495,0.0006532501990348094,1.0246734610399868e-06
0.9,10,2,original,0.04286891415727517,0.042304230436676304,0.0005646837205988668
0.9,10,2,harmonic,0.04565197554561638,0.044600759216823035,0.0010512163287933445
0.9,10,5,original,0.01665908326592797,0.016630007158818787,2.9076107109182225e-05
0.9,10,5,harmonic,0.012921458610477369,0.012886198581530266,3.526002894710133e-05
0.9,10,10,original,0.008805619794177334,0.008781837714480586,2.378207969674787e-05
0.9,10,10,harmonic,0.005592971702771071,0.005575751969047743,1.7219733723326364e-05
0.9,10,20,original,0.005822513482772438,0.005800614700269848,2.189878250258994e-05
0.9,10,20,harmonic,0.0032283160218603674,0.0032261220633805696,2.1939584797983395e-06
0.9,10,50,original,0.0029598482547281042,0.002926457843398787,3.339041132931726e-05
0.9,10,50,harmonic,0.001349926041016577,0.0013227195492718658,2.7206491744711306e-05
0.9,10,100,original,0.00146384146971274,0.001462461843510139,1.3796262026010297e-06
0.9,10,100,harmonic,0.0006319157655173384,0.0006284148053812366,3.500960136101675e-06
0.9,20,2,original,0.06729930878319186,0.06649695648823468,0.0008023522949571685
0.9,20,2,harmonic,0.05170116654981731,0.051096154400691304,0.0006050121491260093
0.9,20,5,original,0.02198086402150799,0.021815108187454402,0.00016575583405358652
0.9,20,5,harmonic,0.019741571840183842,0.019622442550316633,0.00011912928986720891
0.9,20,10,original,0.008920261253878873,0.008891211108038335,2.9050145840540038e-05
0.9,20,10,harmonic,0.005878739114203982,0.005860114027395071,1.86250868089108e-05
0.9,20,20,original,0.005085613527165513,0.005074409220132285,1.1204307033227305e-05
0.9,20,20,harmonic,0.003026373330573915,0.0030148070783657965,1.1566252208118941e-05
0.9,20,50,original,0.0025481188667010927,0.0025392899354085632,8.828931292529633e-06
0.9,20,50,harmonic,0.0011903771546798296,0.0011878358837361766,2.5412709436529e-06
0.9,20,100,original,0.001587362419674529,0.0015841947984096233,3.1676212649057107e-06
0.9,20,100,harmonic,0.000678720852055127,0.0006733655330108425,5.355319044284652e-06
0.9,50,2,original,0.06769881532354007,0.06703041531857387,0.0006684000049661839
0.9,50,2,harmonic,0.040374931694946437,0.040166644785448444,0.0002082869094979896
0.9,50,5,original,0.026101361812844392,0.025831555224877956,0.0002698065879664411
0.9,50,5,harmonic,0.018868939865897355,0.018758668312168703,0.0001102715537286523
0.9,50,10,original,0.01173265601627919,0.011669868378921236,6.278763735795615e-05
0.9,50,10,harmonic,0.0061886718928349,0.006182426888713606,6.245004121295862e-06
0.9,50,20,original,0.008207476079749629,0.00815628612179071,5.118995795892102e-05
0.9,50,20,harmonic,0.0029143843156639723,0.002900907642403731,1.347667326024134e-05
0.9,50,50,original,0.002801266654499014,0.002794047641877001,7.219012622013426e-06
0.9,50,50,harmonic,0.0012378167158802794,0.0012336215698523084,4.195146027970931e-06
0.9,50,100,original,0.0014463685931565824,0.0014409791032237622,5.389489932820092e-06
0.9,50,100,harmonic,0.0005582058563071294,0.0005509454086830806,7.260447624048719e-06
0.9,100,2,original,0.04252039571582852,0.04231509745075966,0.00020529826506885196
0.9,100,2,harmonic,0.03338210978987531,0.033287251593274746,9.485819660056216e-05
0.9,100,5,original,0.014348409675619678,0.01431635365467666,3.20560209430158e-05
0.9,100,5,harmonic,0.011782710367792305,0.011773256511220496,9.453856571811511e-06
0.9,100,10,original,0.014333757389422132,0.01425620765382044,7.75497356016939e-05
0.9,100,10,harmonic,0.007029499136197009,0.006987224310823774,4.227482537323699e-05
0.9,100,20,original,0.004917662301994167,0.004888124153284992,2.9538148709175153e-05
0.9,100,20,harmonic,0.002414813925655513,0.0024015589119505834,1.3255013704930134e-05
0.9,100,50,original,0.0024093636681114606,0.0024072157806845204,2.1478874269404032e-06
0.9,100,50,harmonic,0.0012376760919555574,0.0012327231803208843,4.952911634672995e-06
0.9,100,100,original,0.0013304490929097997,0.0013224934800214858,7.955612888314018e-06
0.9,100,100,harmonic,0.0006074706718291388,0.0006067204820013347,7.501898278041023e-07
0.95,1,2,original,0.3933889575449329,0.37269732655480686,inf
0.95,1,2,harmonic,0.323017958858034,0.30627973724760055,inf
0.95,1,5,original,0.05369050576201016,0.051565231936497403,0.0021252738255127623
0.95,1,5,harmonic,0.07715114352304502,0.0743130306928079,0.0028381128302371263
0.95,1,10,original,0.01602991392513626,0.015707850428562785,0.00032206349657347866
0.95,1,10,harmonic,0.014297260337469416,0.013749805112746667,0.0005474552247227499
0.95,1,20,original,0.006870246274949238,0.006846543421714086,2.3702853235152393e-05
0.95,1,20,harmonic,0.004155692408824506,0.004138384631928564,1.7307776895941993e-05
0.95,1,50,original,0.003195745865327495,0.0031815636516661994,1.4182213661296173e-05
0.95,1,50,harmonic,0.0017972795612537494,0.0017795751001301943,1.7704461123555286e-05
0.95,1,100,original,0.0015572504206912026,0.0015527688457543643,4.481574936838315e-06
0.95,1,100,harmonic,0.000893033601428253,0.0008899613277393333,3.072273688919895e-06
0.95,5,2,original,0.042003467873700996,0.041989437621970625,1.4030251730361866e-05
0.95,5,2,harmonic,0.03409605209065038,0.03408023464750225,1.5817443148135017e-05
0.95,5,5,original,0.026851584774360605,0.026673763094551967,0.00017782167980863532
0.95,5,5,harmonic,0.016406335599977145,0.016257586445192887,0.00014874915478425664
0.95,5,10,original,0.014627525421688405,0.014388123367438782,0.00023940205424962413
0.95,5,10,harmonic,0.009058685522215958,0.008800214622996747,0.00025847089921921136
0.95,5,20,original,0.006095731174800389,0.006064682601839346,3.104857296104271e-05
0.95,5,20,harmonic,0.003273692543742856,0.0032620737979317813,1.161874581107479e-05
0.95,5,50,original,0.0024456734030728986,0.0024438612612619906,1.8121418109083084e-06
0.95,5,50,harmonic,0.0011887673829144517,0.0011870896370088338,1.6777459056178729e-06
0.95,5,100,original,0.0016808299590580348,0.0016572199701024727,2.3609988955562205e-05
0.95,5,100,harmonic,0.0007030432127643224,0.0006980099842460472,5.033228518275194e-06
0.95,10,2,original,0.06433523035495255,0.0634114442001415,0.0009237861548110472
0.95,10,2,harmonic,0.051050750479029336,0.05014961790328173,0.0009011325757476077
0.95,10,5,original,0.026218578085824472,0.025828688262619047,0.0003898898232054265
0.95,10,5,harmonic,0.018725732176205778,0.01832983575491861,0.0003958964212871672
0.95,10,10,original,0.008078981506693641,0.007956223438245407,0.0001227580684482319
0.95,10,10,harmonic,0.005912598359996688,0.005897973067546228,1.4625292450458828e-05
0.95,10,20,original,0.005704692210177925,0.005672171304242218,3.2520905935706776e-05
0.95,10,20,harmonic,0.0030151872609090395,0.0030080485590371223,7.138701871917563e-06
0.95,10,50,original,0.0025145495999079636,0.002505659115184005,8.890484723958926e-06
0.95,10,50,harmonic,0.0013472439113502055,0.0013280731298040776,1.9170781546127702e-05
0.95,10,100,original,0.0015059395611316505,0.0014871817163005447,1.875784483110574e-05
0.95,10,100,harmonic,0.0006738741819803152,0.0006687289400792685,5.145241901046577e-06
0.95,20,2,original,0.04516545744988413,0.04463585927604683,0.0005295981738372905
0.95,20,2,harmonic,0.03532138415672924,0.035017288115799086,0.0003040960409301631
0.95,20,5,original,0.020032428098663783,0.01986714807523792,0.00016528002342586174
0.95,20,5,harmonic,0.013099377340614626,0.013010200773456281,8.917656715834657e-05
0.95,20,10,original,0.013751110555658544,0.013704665954677692,4.644460098085097e-05
0.95,20,10,harmonic,0.010656010624100164,0.01060060136001719,5.540926408297419e-05
0.95,20,20,original,0.005676040664007767,0.005657378283672386,1.8662380335382158e-05
0.95,20,20,harmonic,0.0029035207575620727,0.0028995377881220153,3.982969440057691e-06
0.95,20,50,original,0.002578300842753273,0.002574119481272618,4.181361480654456e-06
0.95,20,50,harmonic,0.001176669152826148,0.0011664379851744882,1.0231167651660012e-05
0.95,20,100,original,0.0014786277242120373,0.001460519119150652,1.8108605061385032e-05
0.95,20,100,harmonic,0.0005368201742244085,0.0005201572451933117,1.6662929031096943e-05
0.95,50,2,original,0.03830887764227214,0.03824221074981921,6.666689245292414e-05
0.95,50,2,harmonic,0.032822841755962756,0.03277907882734686,4.376292861589341e-05
0.95,50,5,original,0.012637440237804293,0.012477207369382655,0.00016023286842163723
0.95,50,5,harmonic,0.011085899323276195,0.011008130354161372,7.776896911482161e-05
