config,position_k,imbalance_ratio,traffic_split,alpha,beta,D_k,D_kp,term1,term2,total
adversarial_mixed,4,5,,3.0,4.0,-3.4086951986863105e-05,-1.2868569287766206e-05,-0.00018782208509851724,3.4086951986863105e-05,-0.00015373513311165414
adversarial_mixed,4,10,,3.0,4.0,-4.561881936105902e-05,-5.976167953400087e-06,-0.00020637994925783642,4.561881936105902e-05,-0.0001607611298967774
adversarial_mixed,4,20,,3.0,4.0,-3.130903973530406e-05,-2.5587904910307125e-05,-0.00022758777858244473,3.130903973530406e-05,-0.00019627873884714068
adversarial_mixed,4,50,,3.0,4.0,-6.842720525719831e-06,-4.557185095518425e-05,-0.00020965828592361632,6.842720525719831e-06,-0.00020281556539789649
adversarial_mixed,4,100,,3.0,4.0,-3.998730094034237e-05,-1.7937473441060703e-05,-0.0002316990975256123,3.998730094034237e-05,-0.00019171179658526992
systematic,5,1,0.6,4.0,5.000000000000001,2.7332116455326314e-06,-0.000719192178711935,-0.003582294835332012,-2.733211645532634e-06,-0.0035850280469775448
systematic,5,1,0.8,4.0,5.000000000000001,-4.367972327037049e-06,-0.0005661472646384574,-0.002852576184827473,4.367972327037053e-06,-0.002848208212500436
systematic,5,1,0.95,4.0,5.000000000000001,2.0990093910918566e-05,-0.0005344126198885747,-0.002567112629888281,-2.0990093910918586e-05,-0.0025881027237992
systematic,5,2,0.6,4.0,5.000000000000001,1.4653202929834012e-05,-0.00048719321677922545,-0.0023627000692469577,-1.4653202929834026e-05,-0.0023773532721767915
systematic,5,2,0.8,4.0,5.000000000000001,2.997998370617936e-05,-0.0007895560932893082,-0.003797880547915645,-2.9979983706179386e-05,-0.0038278605316218245
systematic,5,2,0.95,4.0,5.000000000000001,1.5439853671095848e-05,-0.0005842637377115458,-0.0028441194202022506,-1.543985367109586e-05,-0.0028595592738733465
systematic,5,5,0.6,4.0,5.000000000000001,-2.771112269643494e-05,-0.0003435581990352813,-0.0018563466086585817,2.7711122696434965e-05,-0.0018286354859621467
systematic,5,5,0.8,4.0,5.000000000000001,-9.983158762890044e-06,-0.0006014666371189424,-0.003057248979409163,9.983158762890053e-06,-0.003047265820646273
systematic,5,5,0.95,4.0,5.000000000000001,8.014270928568474e-06,-0.0007264809242157716,-0.0035923332664360157,-8.014270928568481e-06,-0.003600347537364584
systematic,5,10,0.6,4.0,5.000000000000001,-2.6113601522411795e-05,-0.00045579345601948673,-0.002409535287709493,2.611360152241182e-05,-0.0023834216861870813
systematic,5,10,0.8,4.0,5.000000000000001,2.1230045249409375e-05,-0.00115754451466837,-0.005681572347094804,-2.1230045249409395e-05,-0.005702802392344213
systematic,5,10,0.95,4.0,5.000000000000001,4.283177926778101e-07,-0.0004347937929185837,-0.00217182737562953,-4.283177926778105e-07,-0.0021722556934222078
systematic,5,20,0.6,4.0,5.000000000000001,-1.1439289587481595e-05,-0.00043193930696091643,-0.0022168929827419905,1.1439289587481605e-05,-0.002205453693154509
systematic,5,20,0.8,4.0,5.000000000000001,-2.4980065301314088e-05,-0.0006446053902273719,-0.003347927277643431,2.498006530131411e-05,-0.0033229472123421167
systematic,5,20,0.95,4.0,5.000000000000001,-9.31269555777214e-06,-0.0008288215757216517,-0.004190671356397119,9.312695557772149e-06,-0.004181358660839347
systematic,5,50,0.6,4.0,5.000000000000001,1.1135655574178582e-05,-0.000948496174751938,-0.004686802595888798,-1.1135655574178593e-05,-0.004697938251462977
systematic,5,50,0.8,4.0,5.000000000000001,-3.383855300666258e-05,-0.00036650570533224133,-0.0020017212916945202,3.383855300666261e-05,-0.0019678827386878576
systematic,5,50,0.95,4.0,5.000000000000001,3.348951493887775e-06,-0.0010456956815384374,-0.0052117336502227486,-3.348951493887778e-06,-0.005215082601716636
systematic,5,100,0.6,4.0,5.000000000000001,-6.50675528819037e-05,-0.0004432963658822734,-0.002541819593820886,6.506755288190376e-05,-0.0024767520409389823
