alpha,beta,rho,worst_ratio,M,b0,frac,harmonic_loses
19.61717333622126,0.08605138429951567,227.97045620951937,10.549335300976406,200,20,0.9,1
19.61717333622126,0.14809681479725867,132.46181805514686,8.77545320360474,200,20,0.9,1
19.61717333622126,0.25487871847306215,76.96669794067007,6.841059036658714,200,20,0.9,1
19.61717333622126,0.4386533310618707,44.721359549995796,5.012589296643317,200,20,0.9,1
19.61717333622126,0.7549345273093543,25.985264452188193,3.5034398031788996,200,20,0.9,1
19.61717333622126,1.2992632226094094,15.098690546187088,2.3911820438337363,200,20,0.9,1
19.61717333622126,2.2360679774997894,8.773066621237417,1.6379841438286464,200,20,0.9,1
19.61717333622126,3.8483348970335034,5.097574369461244,1.321832518042708,200,5,0.7000000000000001,1
19.61717333622126,6.623090902757343,2.9619362959451734,1.1039353133828618,200,5,0.75,1
19.61717333622126,11.398522810475967,1.7210276859903137,1.0094313899435066,5,2,0.55,1
19.61717333622126,19.61717333622126,1.0,1.0000000000000007,10,2,1.0,1
19.61717333622126,33.76169843250776,0.5810481772840163,1.0000000000000002,10,2,1.0,1
19.61717333622126,58.10481772840162,0.3376169843250776,1.0000000000000004,10,2,1.0,1
19.61717333622126,100.0,0.1961717333622126,1.0000000000000004,50,2,1.0,1
33.76169843250776,0.05,675.2339686501551,13.667408145119476,200,20,0.9500000000000001,1
33.76169843250776,0.08605138429951567,392.34346672442524,12.222212949058878,200,20,0.9500000000000001,1
33.76169843250776,0.14809681479725867,227.97045620951937,10.549335300976407,200,20,0.9,1
33.76169843250776,0.25487871847306215,132.46181805514686,8.77545320360474,200,20,0.9,1
33.76169843250776,0.4386533310618707,76.96669794067009,6.84105903665871,200,20,0.9,1
33.76169843250776,0.7549345273093543,44.7213595499958,5.012589296643316,200,20,0.9,1
33.76169843250776,1.2992632226094094,25.98526445218819,3.5034398031788996,200,20,0.9,1
33.76169843250776,2.2360679774997894,15.09869054618709,2.3911820438337372,200,20,0.9,1
33.76169843250776,3.8483348970335034,8.773066621237415,1.6379841438286467,200,20,0.9,1
33.76169843250776,6.623090902757343,5.097574369461243,1.3218325180427077,200,5,0.7000000000000001,1
33.76169843250776,11.398522810475967,2.961936295945174,1.103935313382862,200,5,0.75,1
33.76169843250776,19.61717333622126,1.7210276859903137,1.0094313899435068,5,2,0.55,1
33.76169843250776,33.76169843250776,1.0,1.0000000000000004,50,2,1.0,1
33.76169843250776,58.10481772840162,0.5810481772840163,1.0000000000000004,2,2,1.0,1
33.76169843250776,100.0,0.3376169843250776,1.0000000000000004,50,2,1.0,1
58.10481772840162,0.05,1162.0963545680324,14.685931593470428,200,20,0.9500000000000001,1
58.10481772840162,0.08605138429951567,675.2339686501551,13.667408145119479,200,20,0.9500000000000001,1
58.10481772840162,0.14809681479725867,392.34346672442524,12.222212949058873,200,20,0.9500000000000001,1
58.10481772840162,0.25487871847306215,227.97045620951934,10.549335300976406,200,20,0.9,1
58.10481772840162,0.4386533310618707,132.46181805514686,8.77545320360474,200,20,0.9,1
58.10481772840162,0.7549345273093543,76.96669794067009,6.841059036658711,200,20,0.9,1
58.10481772840162,1.2992632226094094,44.72135954999579,5.012589296643317,200,20,0.9,1
58.10481772840162,2.2360679774997894,25.98526445218819,3.503439803178898,200,20,0.9,1
58.10481772840162,3.8483348970335034,15.098690546187088,2.391182043833737,200,20,0.9,1
58.10481772840162,6.623090902757343,8.773066621237415,1.6379841438286475,200,20,0.9,1
58.10481772840162,11.398522810475967,5.097574369461243,1.3218325180427075,200,5,0.7000000000000001,1
58.10481772840162,19.61717333622126,2.9619362959451734,1.1039353133828618,200,5,0.75,1
58.10481772840162,33.76169843250776,1.7210276859903135,1.0094313899435063,5,2,0.55,1
58.10481772840162,58.10481772840162,1.0,1.0000000000000002,2,2,1.0,1
58.10481772840162,100.0,0.5810481772840163,1.0000000000000004,2,2,1.0,1
100.0,0.05,2000.0,15.35444751248789,200,20,0.9500000000000001,1
100.0,0.08605138429951567,1162.0963545680327,14.685931593470427,200,20,0.9500000000000001,1
100.0,0.14809681479725867,675.2339686501552,13.667408145119479,200,20,0.9500000000000001,1
100.0,0.25487871847306215,392.3434667244252,12.222212949058875,200,20,0.9500000000000001,1
100.0,0.4386533310618707,227.97045620951937,10.549335300976404,200,20,0.9,1
100.0,0.7549345273093543,132.4618180551469,8.775453203604744,200,20,0.9,1
100.0,1.2992632226094094,76.96669794067007,6.841059036658713,200,20,0.9,1
100.0,2.2360679774997894,44.7213595499958,5.012589296643317,200,20,0.9,1
100.0,3.8483348970335034,25.98526445218819,3.5034398031788996,200,20,0.9,1
100.0,6.623090902757343,15.098690546187088,2.3911820438337372,200,20,0.9,1
100.0,11.398522810475967,8.773066621237415,1.6379841438286473,200,20,0.9,1
100.0,19.61717333622126,5.097574369461243,1.321832518042707,200,5,0.7000000000000001,1
100.0,33.76169843250776,2.961936295945174,1.1039353133828618,200,5,0.75,1
100.0,58.10481772840162,1.7210276859903137,1.0094313899435066,5,2,0.55,1
100.0,100.0,1.0,1.0000000000000002,10,2,1.0,1
