alpha,beta,surrogate_h,surrogate_o,ratio_h_over_o
0.05,0.2811706625951745,1.9201596727344832e-05,0.00016058680258233547,0.11957144932566835
0.05,0.2811706625951745,1.8010424820319136e-05,6.073874893535773e-05,0.29652281510584033
0.05,0.2811706625951745,1.8263353877406404e-05,4.722916001922809e-05,0.3866965635207352
0.05,0.2811706625951745,1.3814342708382182e-05,2.080354662415135e-05,0.6640378661369583
0.05,0.2811706625951745,1.6674562024265753e-05,4.150681748752735e-05,0.40173068024973
0.05,0.2811706625951745,2.0203576913935664e-05,3.7838784711087063e-05,0.5339383140393474
0.05,0.2811706625951745,1.591829866731323e-05,0.00017670224102023382,0.09008543737422356
0.05,0.2811706625951745,1.616965196679459e-05,3.786185532878024e-05,0.42706972033944207
0.05,0.2811706625951745,1.8384954829617596e-05,4.288308608461617e-05,0.4287227554784821
0.05,0.2811706625951745,1.499626718147663e-05,2.3409485015538846e-05,0.6406064538165767
0.05,0.2811706625951745,1.6195645361852374e-05,2.9402614735813042e-05,0.5508233028719625
0.05,0.2811706625951745,1.7297894202190586e-05,0.00022002612223118693,0.07861745699456202
0.05,0.2811706625951745,1.6824248655303938e-05,3.005116355088214e-05,0.5598534854338466
0.05,0.2811706625951745,1.519597397312068e-05,2.6127250455176915e-05,0.5816139742369911
0.05,0.2811706625951745,1.8009111691836535e-05,5.0339499515434495e-05,0.3577530937969456
0.05,0.2811706625951745,1.4655003167904457e-05,3.484997603772276e-05,0.42051687932414644
0.05,0.2811706625951745,1.4858990191224204e-05,3.906347974706808e-05,0.380380608369623
0.05,0.2811706625951745,1.7174316880245976e-05,3.627498734151224e-05,0.47344790829443223
0.05,0.2811706625951745,1.5289224316780227e-05,0.00014427275246427882,0.10597444115835912
0.05,0.2811706625951745,1.4900666178682459e-05,2.5658298516876573e-05,0.580734773542433
0.05,0.2811706625951745,1.4730959084377873e-05,3.400560161650504e-05,0.43319213259347306
0.05,0.2811706625951745,1.6115023628462262e-05,0.00014821953406272243,0.10872402028765539
0.05,0.2811706625951745,1.6528669566920678e-05,9.003537612438061e-05,0.18357972475271186
0.05,0.2811706625951745,1.6140771499212678e-05,3.3150929437767777e-05,0.48688745000386086
0.05,0.2811706625951745,1.5590150482726775e-05,2.3373500548855607e-05,0.667001095969345
0.05,0.2811706625951745,1.4483761287045891e-05,3.944552511716077e-05,0.367183888261757
0.05,0.2811706625951745,1.5288040962961525e-05,3.3350948664991293e-05,0.45839898338512575
0.05,0.2811706625951745,1.6755215342802134e-05,5.291794896805308e-05,0.3166263180932687
0.05,0.2811706625951745,1.4937995482341378e-05,2.5335628539799632e-05,0.5896042981083081
0.05,0.2811706625951745,1.657761173479829e-05,5.5474075588686383e-05,0.2988352948449888
0.05,0.2811706625951745,1.692719949358469e-05,2.8374205630481125e-05,0.5965699873338679
0.05,0.2811706625951745,1.6400296113204075e-05,3.4251214045713026e-05,0.47882378975868095
0.05,0.2811706625951745,1.5897890354661912e-05,4.535716709426989e-05,0.3505044819404151
0.05,0.2811706625951745,1.633099979357667e-05,8.065262456889476e-05,0.20248565847508745
0.05,0.2811706625951745,1.6642112377347958e-05,6.581085466919424e-05,0.2528779250930782
0.05,0.2811706625951745,1.4280167795095424e-05,4.7913097442296975e-05,0.29804309379691873
0.05,0.2811706625951745,1.8126213477489916e-05,4.845019367969391e-05,0.3741205576457136
0.05,0.2811706625951745,1.4923340263971898e-05,2.5737350300332586e-05,0.57983203747975
0.05,0.2811706625951745,1.632861984673328e-05,0.00014950692251074037,0.10921648023060776
0.05,0.2811706625951745,1.6218708042549737e-05,3.401991514260501e-05,0.47674157841264453
0.05,0.2811706625951745,1.57641198593871e-05,3.0218480771960123e-05,0.5216714889920842
0.05,0.2811706625951745,1.4520146609030834e-05,2.1149064316472216e-05,0.686562128317026
0.05,0.2811706625951745,1.7945355881065592e-05,5.674475931262451e-05,0.3162469292044936
0.05,0.2811706625951745,1.4348025783465043e-05,5.586205736628733e-05,0.2568474284680402
0.05,0.2811706625951745,1.8141113994985433e-05,5.060396604132034e-05,0.3584919407339026
0.05,0.2811706625951745,1.618367153998434e-05,5.237690921171605e-05,0.3089848519806178
0.05,0.2811706625951745,1.6429453406616978e-05,4.4496712545225936e-05,0.36922847704576545
0.05,0.2811706625951745,1.8807595069631213e-05,8.125633805624873e-05,0.23146003769714404
0.05,0.2811706625951745,1.792362037513843e-05,3.0399657936992466e-05,0.5895994097133473
0.05,0.2811706625951745,1.4974975671984408e-05,2.5229314046336555e-05,0.5935546105011469
