scheme,n_pairs,ESS,Vk_plus_Vkp,asym,R_hat,boot_R,boot_std,f,rep,n_imp_subsample,seed
harmonic,1530220,1504.3094884899283,1.987909947744916e-07,1.5372345142303308e-07,1.6908509626573667,1.6910647045100586,0.003693759943418626,0.3,1,70677729,300001
uniform,1531974,1531974.0,8.054970456912307e-07,6.107333850951258e-07,1.5435212456321232,1.5441180728070794,0.0032640321453171034,0.3,2,70675453,300002
min,1531974,2066.449319424268,2.059597114725151e-07,1.5743470809823733e-07,1.6903469941201767,1.6900934742022597,0.003857511453192086,0.3,2,70675453,300002
harmonic,1531974,1503.6561975609102,1.9879012734980574e-07,1.537146623522092e-07,1.6903948924643777,1.6901627150664555,0.003817800353580901,0.3,2,70675453,300002
uniform,4613072,4613072.0,2.5997654069345166e-07,1.9713266931904286e-07,1.5415161831419761,1.5415619920320927,0.0017643450960482705,1.0,0,235582879,1000000
min,4613072,2526.169068671077,5.5593898777733346e-08,4.247717604223399e-08,1.680305405765543,1.6804834807480846,0.0021624440880509558,1.0,0,235582879,1000000
harmonic,4613072,1849.4539546217613,5.369680756208591e-08,4.149137077422067e-08,1.6790349472740533,1.6791812466883138,0.00215945551250358,1.0,0,235582879,1000000
uniform,4613072,4613072.0,2.5997654069345166e-07,1.9713266931904286e-07,1.5415161831419761,1.5411949529188314,0.0015437602693534266,1.0,1,235582879,1000001
min,4613072,2526.169068671077,5.5593898777733346e-08,4.247717604223399e-08,1.680305405765543,1.6804676555523321,0.0018657130149642505,1.0,1,235582879,1000001
harmonic,4613072,1849.4539546217613,5.369680756208591e-08,4.149137077422067e-08,1.6790349472740533,1.6791627625632117,0.0018378585963729085,1.0,1,235582879,1000001
uniform,4613072,4613072.0,2.5997654069345166e-07,1.9713266931904286e-07,1.5415161831419761,1.5416333608337962,0.0015824516000726443,1.0,2,235582879,1000002
min,4613072,2526.169068671077,5.5593898777733346e-08,4.247717604223399e-08,1.680305405765543,1.6806822718170538,0.002066386258065748,1.0,2,235582879,1000002
harmonic,4613072,1849.4539546217613,5.369680756208591e-08,4.149137077422067e-08,1.6790349472740533,1.6794183954577395,0.0020345740985915767,1.0,2,235582879,1000002
