traffic_split,imbalance_ratio,scheme,mse,variance,bias2
0.8,1,min,0.005101741868115908,0.004979425243010977,0.00012231662510493114
0.8,1,harmonic,0.004889416177253652,0.004791009158235816,9.840701901783552e-05
0.8,1,clipped_5,0.02465967196024029,0.00023591526203468725,0.024423756698205602
0.8,2,original,0.00641396503753181,0.00638350795079836,3.04570867334503e-05
0.8,2,min,0.004042704242961845,0.003984610447195099,5.809379576674652e-05
0.8,2,harmonic,0.003882422245474207,0.003843893643541199,3.8528601933007935e-05
0.8,2,clipped_5,0.03636286722649155,6.117065901533286e-05,0.03630169656747622
0.8,5,original,0.00591295290160553,0.0059014498247078875,1.1503076897641856e-05
0.8,5,min,0.0036292348132403807,0.0036005849843891652,2.8649828851215838e-05
0.8,5,harmonic,0.0034537873696682654,0.0034388807598219073,1.4906609846357605e-05
0.8,5,clipped_5,0.04109620411462654,2.564432526752057e-05,0.04107055978935903
0.8,10,original,0.005421885992399671,0.005418461316097916,3.424676301754014e-06
0.8,10,min,0.0034271830457238786,0.0034154455122941607,1.1737533429717738e-05
0.8,10,harmonic,0.003272924546698957,0.0032688904277962927,4.034118902664181e-06
0.8,10,clipped_5,0.04158520935920887,2.407548689199494e-05,0.041561133872316865
0.8,20,original,0.005630624186161052,0.0056287052149785475,1.9189711825048626e-06
0.8,20,min,0.003389969484411721,0.0033791391582388107,1.083032617290988e-05
0.8,20,harmonic,0.003174971065289657,0.0031727532280781553,2.217837211500891e-06
0.8,20,clipped_5,0.041538974818819865,2.3971078299330762e-05,0.041515003740520535
0.8,50,original,0.005506314701159826,0.005503031600323078,3.283100836748109e-06
0.8,50,min,0.003328468583095942,0.00331752002987669,1.0948553219252697e-05
0.8,50,harmonic,0.0031208200356352637,0.0031188358344630203,1.984201172243336e-06
0.8,50,clipped_5,0.041510800227751825,2.370509742761293e-05,0.04148709513032422
0.8,100,original,0.005578339845939993,0.005575847722997759,2.4921229422345144e-06
0.8,100,min,0.0033245025798110082,0.00331486991664747,9.632663163537656e-06
0.8,100,harmonic,0.003088535253157526,0.0030873835730793474,1.1516800781786575e-06
0.8,100,clipped_5,0.04153111759716751,2.3278468026426842e-05,0.04150783912914109
0.9,1,original,0.007918380443820582,0.007838914686362723,7.946575745786027e-05
0.9,1,min,0.005267396818233741,0.005147020333690728,0.00012037648454301403
0.9,1,harmonic,0.005049272542336415,0.004953942728765381,9.532981357103452e-05
0.9,1,clipped_5,0.027455383782237847,0.0001932637604714217,0.027262120021766433
0.9,2,original,0.006906521621320358,0.006890279620580477,1.6242000739880997e-05
0.9,2,min,0.0042057792638306776,0.004168435709785439,3.7343554045238194e-05
0.9,2,harmonic,0.004030122672399545,0.0040057195463871435,2.4403126012400465e-05
0.9,2,clipped_5,0.03866951709419764,4.5526430742572494e-05,0.03862399066345507
0.9,5,original,0.006032977004616562,0.0060293355054713465,3.6414991452156965e-06
0.9,5,min,0.00354360001339242,0.0035300785380810384,1.3521475311381784e-05
0.9,5,harmonic,0.0034214582677340086,0.003414223721506182,7.234546227825694e-06
